96,96,96
106,115,111
110,10,91
10,32,32
123,34,114
34,58,32
48,44,32
34,103,34
58,32,48
44,32,34
98,34,58
32,49,53
48,125,44
10,32,32
123,34,114
34,58,32
48,44,32
34,103,34
58,32,53
48,44,32
34,98,34
58,32,50
48,48,125
44,10,32
32,123,34
114,34,58
32,48,44
32,34,103
34,58,32
49,48,48
44,32,34
98,34,58
32,50,53
53,125,44
10,32,32
123,34,114
34,58,32
53,48,44
32,34,103
34,58,32
49,53,48
44,32,34
98,34,58
32,50,53
53,125,44
10,32,32
32,32,123
34,114,34
58,32,49
48,48,44
32,34,103
34,58,32
50,48,48
44,32,34
98,34,58
32,50,53
53,125,44
10,32,32
123,34,114
34,58,32
49,53,48
44,32,34
103,34,58
32,50,51
48,44,32
34,98,34
58,32,50
48,48,125
44,10,32
32,123,34
114,34,58
32,50,48
48,44,32
34,103,34
58,32,50
53,53,44
32,34,98
34,58,32
49,53,48
125,44,10
32,32,32
32,123,34
114,34,58
32,50,52
48,44,32
34,103,34
58,32,50
53,53,44
32,34,98
34,58,32
49,48,48
125,44,10
32,32,123
34,114,34
58,32,50
53,53,44
32,34,103
34,58,32
50,51,48
44,32,34
98,34,58
32,53,48
125,44,10
32,32,123
34,114,34
58,32,50
53,53,44
32,34,103
34,58,32
50,48,48
44,32,34
98,34,58
32,48,125
44,10,32
32,123,34
114,34,58
32,50,53
53,44,32
34,103,34
58,32,49
53,48,44
32,34,98
34,58,32
48,125,44
10,32,32
32,32,123
34,114,34
58,32,50
53,53,44
32,34,103
34,58,32
49,48,48
44,32,34
98,34,58
32,48,125
44,10,32
32,32,32
123,34,114
34,58,32
50,53,53
44,32,34
103,34,58
32,53,48
44,32,34
98,34,58
32,48,125
44,10,32
32,123,34
114,34,58
32,50,53
53,44,32
34,103,34
58,32,48
44,32,34
98,34,58
32,48,125
44,10,32
32,123,34
114,34,58
32,50,48
48,44,32
34,103,34
58,32,48
44,32,34
98,34,58
32,48,125
44,10,32
32,123,34
114,34,58
32,50,48
48,44,32
34,103,34
58,32,49
48,48,44
32,34,98
34,58,32
53,48,125
44,10,32
32,123,34
114,34,58
32,50,48
48,44,32
34,103,34
58,32,49
56,48,44
32,34,98
34,58,32
49,48,48
125,44,10
32,32,32
32,123,34
114,34,58
32,50,50
48,44,32
34,103,34
58,32,49
48,48,44
32,34,98
34,58,32
50,48,125
44,10,32
32,32,123
34,114,34
58,32,50
51,48,44
32,34,103
34,58,32
49,56,48
44,32,34
98,34,58
32,55,48
125,44,10
32,32,32
123,34,114
34,58,32
50,52,48
44,32,34
103,34,58
32,57,48
44,32,34
98,34,58
32,57,48
125,44,10
32,32,32
32,123,34
114,34,58
32,50,53
48,44,32
34,103,34
58,32,49
50,48,44
32,34,98
34,58,32
49,50,48
125,44,10
32,32,32
32,123,34
114,34,58
32,50,53
48,44,32
34,103,34
58,32,49
56,48,44
32,34,98
34,58,32
49,51,48
125,44,10
32,32,32
32,32,32
123,34,114
34,58,32
50,53,53
44,32,34
103,34,58
32,50,48
48,44,32
34,98,34
58,32,49
56,48,125
44,10,32
32,32,32
32,32,123
34,114,34
58,32,50
53,53,44
32,34,103
34,58,32
49,57,48
44,32,34
98,34,58
32,49,56
48,125,44
10,32,32
123,34,114
34,58,32
50,53,53
44,32,34
103,34,58
32,50,53
53,44,32
34,98,34
58,32,50
53,53,125
10,93,10
96,96,96
10,0,0
